prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca,on_fast,off_fast,column_out,on_fast_ca,off_fast_ca,column_out_ca
21,1,10.5,4.5,75,0.117028135982823,0.00861926981716007,0.00748786520811489,0.000163270508760591,0.00125016534433919,0.00112436116525166,2.30851272112349e-06
22,1,11,4.5,75,0.115957885441792,0.00900299286677314,0.00766200177894925,0.000167008875971907,0.00125232176728521,0.00112771262344268,2.33339909787789e-06
23,1,11.5,4.5,75,0.114975874777378,0.00931118323442105,0.00765161061414799,0.00016934962339224,0.00125338259323476,0.00113234737731868,2.31569948603626e-06
24,1,12,4.5,75,0.112035730325759,0.00930401557173611,0.00761127586551584,0.000150881837111154,0.00125542327352217,0.00113713954676879,2.18163712833743e-06
25,1,12.5,4.5,75,0.10668720986233,0.0092144136150343,0.00758496309259457,0.000134827486740942,0.00125695686244957,0.00114068422287452,2.06720661772681e-06
26,1,13,4.5,75,0.105147134269664,0.00926627708618795,0.0077000971811353,0.000134576505124752,0.00125695868738331,0.00114334432826979,1.99306932789297e-06
27,1,13.5,4.5,75,0.105252728684683,0.00918431713959447,0.0077502271565312,0.000139665613681075,0.00125846434735105,0.00114630286808079,2.03821840248397e-06
28,1,14,4.5,75,0.102735549915168,0.00904474997992324,0.00766915659792946,0.000147098494172933,0.00126092410920452,0.00115015653457914,1.97207719406851e-06
29,1,14.5,4.5,75,0.103486646352694,0.00900176228741646,0.00772966739337737,0.000151032315921838,0.00126293671600667,0.00115223469991819,1.94768677677052e-06
30,1,15,4.5,75,0.102958113832172,0.00897436651778948,0.00788778652251235,0.000149096389958248,0.00126523507461912,0.00115397130502465,1.94937472321862e-06
31,1,15.5,4.5,75,0.101830355934241,0.00894618499626117,0.0078479803587878,0.000152175083343913,0.0012673223295144,0.00115738382694645,1.93049241311182e-06
32,1,16,4.5,75,0.0976400992244267,0.00891519699422475,0.00779166907621583,0.000135150915182118,0.00126983304234663,0.00116011064424807,1.80852028979942e-06
33,1,16.5,4.5,75,0.0951457800080741,0.00889013920213701,0.00791958492849992,0.000121979057283607,0.00127238777803503,0.0011619817310658,1.7049554521127e-06
34,1,17,4.5,75,0.0935853174103194,0.00887030057747672,0.00789826867407646,0.000129877960064705,0.00127538149553488,0.00116435239028997,1.74309590987632e-06
35,1,17.5,4.5,75,0.0878874339405117,0.00913427448978688,0.00779509545165269,0.000112186162147533,0.00127467401964089,0.00116715447104962,1.58533892832491e-06
36,1,18,4.5,75,0.0854942420335453,0.00936767024646582,0.00788316197929872,0.000112483619815018,0.00127494111803965,0.00116871974071138,1.50557388679057e-06
37,1,18.5,4.5,75,0.0866444533695607,0.00931874613847138,0.00790480948281172,0.000115332376366305,0.00127559074603606,0.00117013307847842,1.55940530454905e-06
38,1,19,4.5,75,0.0819996949986883,0.00923459629987829,0.00778268755581359,0.00011847318335002,0.00127571577950341,0.00117283829104,1.45847802637823e-06
39,1,19.5,4.5,75,0.0835779427916724,0.00919713412414657,0.00786532319307236,0.000120521193873309,0.00127580883335994,0.00117383674940172,1.45807996502639e-06
40,1,20,4.5,75,0.0823893692926346,0.00915186707886252,0.00794474801304554,0.000123618217672019,0.00127583089873079,0.00117457112749619,1.4740336876336e-06
