prot_barcode,bar_intensity,bar_width,bar_height,bar_speed,ca,on_fast,off_fast,column_out,on_fast_ca,off_fast_ca,column_out_ca
21,1,10.5,4.5,75,0.116038750153769,0.00744675027756461,0.00748786520811489,0.000162397401577683,0.00120391941814919,0.00112436116525166,2.28638189995879e-06
22,1,11,4.5,75,0.114932924246358,0.00761664854858933,0.00766200177894925,0.000165868537362804,0.00120221858584635,0.00112771262344268,2.30996523139734e-06
23,1,11.5,4.5,75,0.1138682295887,0.00762252606836153,0.00765161061414799,0.000168146565162807,0.00119184983400865,0.00113234737731868,2.29078890336315e-06
24,1,12,4.5,75,0.111040758064759,0.00783381957369068,0.00761127586551584,0.000149769297604525,0.00119858608403541,0.00113713954676879,2.1579971083163e-06
25,1,12.5,4.5,75,0.105878532318079,0.00801175498344444,0.00758496309259457,0.000133905090634922,0.00120754938141111,0.00114068422287452,2.05082502541216e-06
26,1,13,4.5,75,0.104429949815389,0.00795759293410482,0.0077000971811353,0.000133826811912487,0.00120481247854874,0.00114334432826979,1.97687901044789e-06
27,1,13.5,4.5,75,0.104559671573838,0.00790019769914229,0.0077502271565312,0.000138931268555475,0.00120354887561417,0.00114630286808079,2.02203457405475e-06
28,1,14,4.5,75,0.102144982901562,0.00799410012851131,0.00766915659792946,0.000146438750200364,0.00121435859068275,0.00115015653457914,1.95838142385381e-06
29,1,14.5,4.5,75,0.102931164755764,0.00805410553472881,0.00772966739337737,0.000150495519681632,0.00122191763441132,0.00115223469991819,1.93661782378331e-06
30,1,15,4.5,75,0.102503426879318,0.0080958018740597,0.00788778652251235,0.000148590009423622,0.00122987517181659,0.00115397130502465,1.94092366461454e-06
31,1,15.5,4.5,75,0.101418133622649,0.00808296131806838,0.0078479803587878,0.000151797702623671,0.00123384044210907,0.00115738382694645,1.92262329362136e-06
32,1,16,4.5,75,0.0972540356140066,0.00803765580607879,0.00779166907621583,0.000134730837578385,0.00123716511421607,0.00116011064424807,1.80133783142987e-06
33,1,16.5,4.5,75,0.0948307880468229,0.00799321273820246,0.00791958492849992,0.000121615887390375,0.00123986638498636,0.0011619817310658,1.69859955962757e-06
34,1,17,4.5,75,0.0933202345229737,0.00795197374706431,0.00789826867407646,0.000129533505009859,0.001242280550514,0.00116435239028997,1.7371611499398e-06
35,1,17.5,4.5,75,0.0875008392699333,0.00763949512569053,0.00779509545165269,0.000111767196801603,0.00122016476650984,0.00116715447104962,1.57608191569002e-06
36,1,18,4.5,75,0.0851074316916409,0.00766687479504352,0.00788316197929872,0.000112064044429663,0.00121503670023451,0.00116871974071138,1.49649890731118e-06
37,1,18.5,4.5,75,0.0863505715148235,0.00790045829629383,0.00790480948281172,0.00011500673522284,0.00122161301307535,0.00117013307847842,1.55220777958008e-06
38,1,19,4.5,75,0.0817423227374904,0.00797157972651527,0.00778268755581359,0.000118171815622474,0.00122570633198803,0.00117283829104,1.45208976366828e-06
39,1,19.5,4.5,75,0.0833730575741721,0.00798528935522593,0.00786532319307236,0.000120283207201143,0.00122935696531783,0.00117383674940172,1.45299795694591e-06
40,1,20,4.5,75,0.0822197093126758,0.00797291622320661,0.00794474801304554,0.00012337373747958,0.00123102274186802,0.00117457112749619,1.4699770902923e-06
